Epoch,Trainig,Train Loss,Val Loss,Train Accuracy,Train Val
1,2,0.9876,0.8705,62.87%,75.17%
2,4,0.6635,0.7226,83.77%,83.07%
3,6,0.5067,0.5977,90.75%,87.20%
4,8,0.4027,0.4954,94.33%,90.71%
5,10,0.3221,0.4321,96.50%,91.54%
6,12,0.2626,0.386,97.67%,91.95%
7,14,0.2201,0.3463,98.35%,93.08%
8,16,0.1824,0.3232,98.97%,92.47%
9,18,0.1523,0.3005,99.30%,93.12%
10,20,0.132,0.2998,99.35%,92.64%
11,22,0.1212,0.2458,99.39%,93.97%
12,24,0.1012,0.2536,99.48%,93.40%
13,26,0.0888,0.2371,99.53%,93.45%
14,28,0.0835,0.2169,99.52%,94.01%
15,30,0.075,0.2246,99.51%,93.90%
16,32,0.0723,0.2263,99.55%,93.49%
17,34,0.0631,0.2153,99.59%,93.53%
18,36,0.0579,0.2254,99.60%,93.42%
19,38,0.0572,0.2282,99.55%,93.27%
20,40,0.0536,0.1945,99.53%,94.47%
21,42,0.05,0.2212,99.59%,93.38%
22,44,0.0468,0.1901,99.59%,94.38%
23,46,0.0432,0.209,99.59%,93.66%
24,48,0.0445,0.204,99.56%,93.73%
25,50,0.0387,0.2076,99.61%,93.51%
26,52,0.0382,0.1966,99.60%,94.12%
27,54,0.0359,0.2118,99.61%,93.60%
28,56,0.0345,0.1974,99.58%,93.86%
29,58,0.0335,0.1903,99.60%,94.03%
30,60,0.0322,0.2029,99.61%,93.79%
31,62,0.0306,0.1909,99.62%,94.10%
32,64,0.0291,0.1974,99.62%,93.75%
33,66,0.0289,0.1989,99.61%,93.68%
34,68,0.0296,0.1866,99.61%,94.10%
35,70,0.0265,0.184,99.62%,94.14%
36,72,0.0268,0.1892,99.60%,93.97%
37,74,0.0256,0.2152,99.62%,93.47%
38,76,0.0245,0.1993,99.62%,93.68%
39,78,0.0229,0.1938,99.62%,93.90%
40,80,0.0227,0.2108,99.62%,93.38%
41,82,0.022,0.2047,99.62%,93.58%
42,84,0.021,0.1802,99.62%,94.34%
43,86,0.0225,0.2067,99.61%,93.53%
44,88,0.0207,0.2016,99.63%,93.73%
45,90,0.0194,0.1866,99.63%,94.08%
46,92,0.0197,0.1943,99.65%,93.88%
47,94,0.02,0.201,99.62%,93.75%
48,96,0.0202,0.1994,99.62%,93.84%
49,98,0.0176,0.189,99.65%,93.97%
50,100,0.017,0.2021,99.65%,93.77%
