Epoch,Training,Train Loss:,Val Loss:,Train Accuracy:,Accuracy:
1,2,0.928,0.8813,67.43%,72.68%
2,4,0.6355,0.7397,83.87%,80.34%
3,6,0.4963,0.6198,89.28%,85.20%
4,8,0.4076,0.5405,92.48%,87.89%
5,10,0.335,0.4484,94.66%,90.08%
6,12,0.2745,0.4011,96.17%,91.51%
7,14,0.2306,0.3652,97.40%,92.10%
8,16,0.1954,0.3321,97.97%,92.66%
9,18,0.1672,0.3347,98.50%,92.19%
10,20,0.1405,0.3146,98.97%,92.62%
11,22,0.1237,0.2661,99.11%,93.68%
12,24,0.1085,0.2624,99.25%,93.01%
13,26,0.0964,0.2491,99.37%,93.73%
14,28,0.0884,0.2342,99.31%,93.97%
15,30,0.0815,0.2186,99.36%,94.29%
16,32,0.0745,0.23,99.45%,93.58%
17,34,0.0669,0.2503,99.50%,93.19%
18,36,0.0627,0.2179,99.48%,93.95%
19,38,0.0561,0.2067,99.57%,93.99%
20,40,0.053,0.2223,99.51%,93.51%
21,42,0.0494,0.229,99.59%,93.47%
22,44,0.048,0.2141,99.56%,93.79%
23,46,0.0474,0.2192,99.52%,93.60%
24,48,0.0428,0.2062,99.56%,93.97%
25,50,0.0408,0.2033,99.56%,93.82%
26,52,0.0387,0.2403,99.58%,93.38%
27,54,0.0364,0.2197,99.58%,93.62%
28,56,0.0342,0.2239,99.59%,93.21%
29,58,0.0336,0.2016,99.59%,94.14%
30,60,0.0327,0.2305,99.60%,93.29%
31,62,0.0308,0.2073,99.59%,93.77%
32,64,0.0295,0.2022,99.59%,93.86%
33,66,0.032,0.2306,99.56%,93.10%
34,68,0.0272,0.1938,99.60%,94.27%
35,70,0.0262,0.2003,99.60%,93.90%
36,72,0.0245,0.204,99.59%,93.90%
37,74,0.0256,0.1998,99.58%,93.90%
38,76,0.0239,0.2202,99.59%,93.25%
39,78,0.0231,0.204,99.58%,93.99%
40,80,0.0247,0.211,99.59%,93.73%
41,82,0.0216,0.2166,99.60%,93.60%
42,84,0.0219,0.2099,99.58%,93.84%
43,86,0.0215,0.2044,99.59%,93.99%
44,88,0.02,0.2294,99.59%,93.42%
45,90,0.0202,0.224,99.60%,93.36%
46,92,0.0195,0.1932,99.60%,93.97%
47,94,0.0193,0.1994,99.60%,94.08%
48,96,0.019,0.2033,99.60%,93.79%
49,98,0.019,0.2021,99.59%,94.01%
50,100,0.018,0.2208,99.60%,93.62%
