Epoch,Training,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,2,0.9905,0.9312,61.13%,67.12%
2,4,0.7065,0.7874,79.75%,76.71%
3,6,0.5674,0.6844,86.20%,80.73%
4,8,0.4721,0.5884,89.96%,84.87%
5,10,0.4006,0.5288,92.34%,86.98%
6,12,0.3405,0.4622,94.24%,88.95%
7,14,0.2957,0.4261,95.16%,90.58%
8,16,0.2549,0.3926,96.37%,90.89%
9,18,0.2201,0.3519,97.30%,92.08%
10,20,0.191,0.3222,97.73%,92.45%
11,22,0.17,0.3223,98.16%,92.10%
12,24,0.1529,0.2976,98.39%,92.45%
13,26,0.1358,0.276,98.70%,93.29%
14,28,0.1241,0.2603,98.79%,93.08%
15,30,0.1123,0.2483,98.95%,93.38%
16,32,0.1006,0.2986,99.02%,92.06%
17,34,0.0946,0.2377,99.07%,93.64%
18,36,0.083,0.2431,99.31%,93.53%
19,38,0.0777,0.2267,99.29%,93.47%
20,40,0.0726,0.2178,99.43%,93.90%
21,42,0.0662,0.2244,99.38%,93.62%
22,44,0.0607,0.2422,99.51%,93.12%
23,46,0.0576,0.232,99.52%,93.21%
24,48,0.0552,0.2212,99.46%,93.42%
25,50,0.052,0.2567,99.45%,92.64%
26,52,0.0518,0.2273,99.46%,93.03%
27,54,0.0485,0.2252,99.55%,92.99%
28,56,0.0474,0.2037,99.52%,93.68%
29,58,0.0435,0.2256,99.49%,93.25%
30,60,0.044,0.2019,99.41%,93.73%
31,62,0.0376,0.2133,99.53%,93.55%
32,64,0.0387,0.2238,99.51%,93.36%
33,66,0.0375,0.2136,99.52%,93.62%
34,68,0.0352,0.2174,99.55%,93.40%
35,70,0.0344,0.2141,99.53%,93.64%
36,72,0.0335,0.202,99.52%,93.71%
37,74,0.0312,0.2027,99.59%,93.75%
38,76,0.0324,0.2222,99.51%,93.34%
39,78,0.0316,0.2059,99.56%,93.66%
40,80,0.03,0.2263,99.52%,92.90%
41,82,0.0289,0.1944,99.52%,93.73%
42,84,0.0275,0.2063,99.55%,93.88%
43,86,0.0264,0.2447,99.58%,93.08%
44,88,0.0281,0.1888,99.55%,93.99%
45,90,0.0262,0.2225,99.56%,93.27%
46,92,0.024,0.2429,99.60%,92.66%
47,94,0.0244,0.2013,99.58%,93.77%
48,96,0.0244,0.1915,99.57%,94.21%
49,98,0.0228,0.2097,99.57%,93.42%
50,100,0.021,0.2282,99.61%,93.10%
