Epoch,Training,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,2,1.1776,1.1551,48.33%,52.30%
2,4,0.9785,1.0798,62.10%,57.14%
3,6,0.8668,0.9716,68.56%,64.95%
4,8,0.7829,0.9231,73.64%,67.45%
5,10,0.7123,0.8583,76.99%,71.07%
6,12,0.6567,0.7872,79.53%,74.50%
7,14,0.6068,0.7649,81.77%,75.63%
8,16,0.558,0.7136,83.57%,77.39%
9,18,0.5224,0.6646,85.17%,80.03%
10,20,0.4838,0.6165,86.35%,81.27%
11,22,0.4538,0.5798,87.64%,83.07%
12,24,0.4299,0.556,88.11%,84.03%
13,26,0.3975,0.5214,89.77%,84.61%
14,28,0.376,0.4904,90.00%,85.13%
15,30,0.3471,0.445,91.29%,87.59%
16,32,0.3273,0.4492,91.90%,87.61%
17,34,0.3069,0.415,92.53%,87.98%
18,36,0.2844,0.402,93.59%,88.93%
19,38,0.2661,0.3881,94.00%,88.91%
20,40,0.2574,0.3561,94.09%,89.95%
21,42,0.242,0.3524,94.67%,90.45%
22,44,0.2173,0.3357,95.48%,90.73%
23,46,0.2085,0.3212,95.73%,91.41%
24,48,0.1956,0.3236,96.24%,91.21%
25,50,0.1864,0.3183,96.42%,91.43%
26,52,0.1805,0.2806,96.32%,92.19%
27,54,0.1689,0.2977,96.76%,91.67%
28,56,0.157,0.2824,96.97%,92.23%
29,58,0.1442,0.2695,97.58%,92.47%
30,60,0.1417,0.2649,97.46%,92.58%
31,62,0.1288,0.2657,98.05%,92.47%
32,64,0.126,0.2408,97.81%,93.12%
33,66,0.1201,0.2531,98.08%,92.84%
34,68,0.1144,0.256,98.09%,92.38%
35,70,0.1118,0.2613,98.24%,92.56%
36,72,0.1029,0.2384,98.46%,93.14%
37,74,0.1006,0.2476,98.18%,92.82%
38,76,0.0935,0.2343,98.61%,93.01%
39,78,0.0927,0.2293,98.59%,93.14%
40,80,0.0867,0.2313,98.73%,93.01%
41,82,0.0824,0.2229,98.93%,93.38%
42,84,0.0764,0.231,99.01%,93.01%
43,86,0.0773,0.2471,98.89%,92.69%
44,88,0.0769,0.2079,98.83%,93.62%
45,90,0.072,0.2296,98.96%,93.19%
46,92,0.0665,0.2272,99.06%,93.06%
47,94,0.0675,0.2116,98.88%,93.64%
48,96,0.0638,0.2262,99.19%,93.12%
49,98,0.0601,0.2296,99.17%,93.16%
50,100,0.0593,0.2396,99.14%,92.66%
