Epoch,Training ,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,2,1.275,1.3468,40.20%,36.31%
2,4,1.1319,1.3305,51.60%,38.39%
3,6,1.051,1.2775,56.79%,42.34%
4,8,0.9859,1.2588,61.13%,43.55%
5,10,0.9287,1.2139,63.71%,46.22%
6,12,0.8775,1.1411,66.93%,50.20%
7,14,0.8374,1.1216,68.87%,51.48%
8,16,0.7937,1.0839,71.25%,53.62%
9,18,0.7578,1.046,72.56%,55.49%
10,20,0.7249,0.9835,74.55%,59.57%
11,22,0.6991,0.9517,75.20%,62.67%
12,24,0.6719,0.9357,76.94%,62.65%
13,26,0.6452,0.92,78.18%,62.78%
14,28,0.6216,0.8705,79.17%,65.43%
15,30,0.5979,0.791,80.50%,70.66%
16,32,0.5755,0.8007,81.14%,69.66%
17,34,0.5497,0.7655,81.76%,71.09%
18,36,0.5312,0.7498,83.18%,72.29%
19,38,0.5133,0.7348,83.53%,72.68%
20,40,0.5005,0.6906,83.57%,74.85%
21,42,0.4849,0.6491,84.75%,77.19%
22,44,0.4581,0.6502,85.58%,76.82%
23,46,0.4489,0.6181,85.85%,78.52%
24,48,0.43,0.6056,87.30%,78.75%
25,50,0.41,0.5765,87.47%,80.58%
26,52,0.4068,0.5416,87.61%,81.23%
27,54,0.3877,0.5384,88.49%,82.10%
28,56,0.3774,0.5295,88.40%,81.73%
29,58,0.3558,0.5034,89.69%,83.62%
30,60,0.3511,0.492,89.46%,83.62%
31,62,0.3349,0.4591,90.68%,85.31%
32,64,0.3258,0.4498,90.23%,85.63%
33,66,0.3169,0.4664,90.48%,85.20%
34,68,0.303,0.4367,91.43%,86.35%
35,70,0.294,0.4519,91.80%,85.55%
36,72,0.2858,0.4105,91.91%,86.61%
37,74,0.2771,0.4076,92.15%,87.11%
38,76,0.2681,0.3794,92.48%,88.22%
39,78,0.2653,0.3671,92.42%,88.93%
40,80,0.2499,0.3504,93.28%,89.37%
41,82,0.2415,0.3531,93.57%,89.34%
42,84,0.2343,0.3307,93.62%,89.91%
43,86,0.2277,0.3284,94.04%,90.36%
44,88,0.2237,0.3265,93.83%,89.67%
45,90,0.219,0.3308,93.96%,89.97%
46,92,0.2047,0.3175,94.75%,90.45%
47,94,0.2034,0.3154,94.66%,90.82%
48,96,0.1972,0.3314,94.79%,90.02%
49,98,0.1835,0.3033,95.23%,91.02%
50,100,0.1798,0.3207,95.51%,90.36%
