Epoch,Training,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,2,1.4391,1.4016,36.17%,35.18%
2,4,1.4073,1.3835,39.88%,38.93%
3,6,1.3903,1.3792,41.79%,39.11%
4,8,1.3698,1.3695,44.86%,41.38%
5,10,1.3517,1.3637,46.97%,42.08%
6,12,1.3422,1.3484,47.40%,43.95%
7,14,1.332,1.3383,48.76%,45.23%
8,16,1.3222,1.3319,49.57%,45.49%
9,18,1.3073,1.3265,50.68%,44.99%
10,20,1.3001,1.3064,50.73%,46.35%
11,22,1.2992,1.3087,50.65%,46.33%
12,24,1.2897,1.3079,51.62%,45.96%
13,26,1.2867,1.3048,51.82%,46.18%
14,28,1.2778,1.2957,52.18%,46.90%
15,30,1.2728,1.291,52.05%,46.33%
16,32,1.2676,1.2925,52.04%,46.51%
17,34,1.2676,1.2853,51.74%,46.46%
18,36,1.2605,1.274,52.80%,47.61%
19,38,1.2568,1.2795,52.89%,46.72%
20,40,1.2515,1.276,53.21%,46.94%
21,42,1.2494,1.2704,53.11%,47.07%
22,44,1.2445,1.2702,53.26%,47.09%
23,46,1.2391,1.263,53.42%,47.44%
24,48,1.2377,1.264,53.65%,47.05%
25,50,1.2357,1.2587,53.48%,47.44%
26,52,1.2314,1.2569,53.37%,47.27%
27,54,1.2323,1.2632,53.59%,47.14%
28,56,1.233,1.2576,53.17%,47.40%
29,58,1.2277,1.2588,53.40%,47.11%
30,60,1.2209,1.2483,53.95%,47.96%
31,62,1.2221,1.2558,53.82%,47.74%
32,64,1.2182,1.247,53.98%,47.74%
33,66,1.2194,1.254,54.02%,47.18%
34,68,1.2205,1.2486,53.77%,47.59%
35,70,1.2134,1.2421,53.98%,48.11%
36,72,1.21,1.2399,54.16%,48.16%
37,74,1.2098,1.2392,54.09%,47.92%
38,76,1.2086,1.238,54.13%,47.74%
39,78,1.2058,1.235,54.14%,48.33%
40,80,1.2026,1.2304,54.32%,48.03%
41,82,1.2041,1.2337,53.90%,48.24%
42,84,1.2023,1.2358,54.37%,47.79%
43,86,1.1966,1.23,54.49%,47.96%
44,88,1.1967,1.2262,54.44%,48.18%
45,90,1.1964,1.224,54.34%,48.39%
46,92,1.1944,1.2255,54.37%,48.00%
47,94,1.1905,1.2218,54.54%,48.29%
48,96,1.19,1.2233,54.49%,48.42%
49,98,1.1893,1.2254,54.37%,48.26%
50,100,1.1835,1.2192,54.64%,47.83%
